"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade"
NA,692,NA,692,"472682","","",-22.484416,-66.221622,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,695,NA,695,"472691","","",-25.533334,-64.083328,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,696,NA,696,"472693","","",-24.333523,-65.624404,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,698,NA,698,"472696","","",-25.366665,-66.01667,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,701,NA,701,"472763","","",-22.916667,-65.733334,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,702,NA,702,"472767","","",-22.266665,-66.398514,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,705,NA,705,"472790","","",-22.288644,-66.050234,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,706,NA,706,"473165","","",-22.96155,-65.43798,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,707,NA,707,"473399","","",-22.368202,-65.32886,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,708,NA,708,"473431","","",-13.334915,-72.170868,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,710,NA,710,"473434","","",-14.006656,-72.949459,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,711,NA,711,"473438","","",-13.898589,-73.992756,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,716,NA,716,"498187","","",-17.333333,-67.733334,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,719,NA,719,"568894","","",-17.223411,-67.136443,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,722,NA,722,"PI 208856","","",-26.866667,-65.683333,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,726,NA,726,"PI 217449","","",-23.583333,-65.333333,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,727,NA,727,"PI 246504","","",-15.683333,-70.516667,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,729,NA,729,"PI 266386","","",-11.6,-75.366667,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,731,NA,731,"PI 275128","","",-22.332778,-65.466944,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,733,NA,733,"PI 275130","","",-25.15,-65.85,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,736,NA,736,"PI 320276","","",-22.166667,-65.216667,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,737,NA,737,"PI 365309","","",-9.866667,-76.533333,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,738,NA,738,"PI 472637","","",-23.55,-64.95,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,739,NA,739,"PI 472638","","",-24.032778,-65.55,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,745,NA,745,"PI 472648","","",-22.833333,-65.966667,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,748,NA,748,"PI 472656","","",-22.116667,-65.7,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,752,NA,752,"PI 472666","","",-21.883333,-66.033333,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
